Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI,Upper_Band,Lower_Band,Company,Trend,SP500_Close,SP500_High,SP500_Low,SP500_Open,SP500_Volume,SP500_SMA_30,SP500_SMA_50,SP500_EMA_30,SP500_EMA_50,SP500_MACD,SP500_Signal_Line,SP500_RSI
2007-01-29,2.779259242947615,3.073533777657906,2.779259242947615,2.8838906288146973,488077,0,0.0,0.0,2.7943366527557374,2.712324514389038,2.77515207352281,2.7326999714703915,0.0282543254732448,0.0301447729213881,65.83319307076586,2.862423187876888,2.745795672749333,AFSI,0,1420.6199951171875,1426.93994140625,1418.4599609375,1422.030029296875,2730480000,1422.311328125,1414.288994140625,1419.7696419382517,1410.1888577525938,3.768969185439346,4.915029239377034,55.22709751496761
2007-01-30,2.9100479247440396,3.0244887546292487,2.8871604379209095,3.0114097595214844,171406,0,0.0,0.0,2.803376547495524,2.721663064956665,2.7903945048775634,2.7436297670802383,0.0420171760108702,0.0325192535392845,73.20244274867369,2.924210512682447,2.7059154867682365,AFSI,1,1428.8199462890625,1428.8199462890625,1420.6099853515625,1420.6099853515625,2706250000,1422.831660970052,1415.0009936523438,1420.3535325415298,1410.919488675593,3.789172246487169,4.689857840799061,60.20267006934548
2007-01-31,2.9427459789723382,3.0768039981532085,2.9427459789723382,3.0473766326904297,70242,0,0.0,0.0,2.8091570774714154,2.732047162055969,2.8069739969945227,2.7555414088688734,0.0551903601776335,0.0370534748669543,73.20239166406137,2.9777456865329683,2.677557147977835,AFSI,1,1438.239990234375,1441.6099853515625,1424.780029296875,1428.6500244140625,2976690000,1423.256660970052,1415.83439453125,1421.5074975539717,1411.990880893584,4.513275902529813,4.654541453145212,63.204225109466115
2007-02-01,3.06372461626281,3.1421982049804167,3.0114095821818667,3.122579336166382,336188,0,0.0,0.0,2.819184160232544,2.7423042345046995,2.827335631779804,2.769935053076619,0.0708813570507844,0.0438190513037203,76.57117904730714,3.0426300614278485,2.6466778428156204,AFSI,1,1445.93994140625,1446.6400146484375,1437.9000244140625,1437.9000244140625,2914890000,1423.8849934895834,1416.7579931640626,1423.0837842541184,1413.3222165999632,5.643401357270932,4.852313433970356,62.66893002014925
2007-02-02,3.138928614949774,3.207592768601923,3.12584962073764,3.1912436485290527,232419,0,0.0,0.0,2.836284613609314,2.7549132442474367,2.850813568344272,2.786456958780636,0.0878446033700672,0.0526241617169897,81.1517125349457,3.113027692125217,2.6099581954022493,AFSI,1,1448.3900146484375,1449.3299560546875,1444.489990234375,1445.93994140625,2569450000,1424.748661295573,1417.7017944335937,1424.7164442795583,1414.69742436657,6.65996245529368,5.213843238235022,60.65909549723191
2007-02-05,3.237020219425374,3.25990770532571,3.1683558751857994,3.1814348697662354,529493,0,0.0,0.0,2.8501221179962157,2.767326078414917,2.8721439748876247,2.8019462886232085,0.0993513512873427,0.0619695996310603,80.7290242509312,3.1674225765620956,2.595780877455544,AFSI,1,1446.989990234375,1449.3800048828125,1443.8499755859375,1448.3299560546875,2439430000,1425.4633260091146,1418.6315942382812,1426.1534472443852,1415.9637994986408,7.26883359073895,5.624841308735808,59.082659942308055
2007-02-06,3.2141317521118156,3.2141317521118156,3.102961249291884,3.1095011234283447,233745,0,0.0,0.0,2.8612356503804524,2.7797486209869384,2.887457339309607,2.8140072625371353,0.1014960959444377,0.0698748988937358,74.16263268527968,3.1960930503767218,2.602096422775439,AFSI,1,1448.0,1450.18994140625,1443.4000244140625,1446.97998046875,2608710000,1426.2789916992188,1419.5353930664062,1427.5629022608766,1417.220121086929,7.743604249775899,6.048593896943826,60.49515036879016
2007-02-07,3.1356586048583375,3.204322576522827,3.1356586048583375,3.204322576522827,668285,0,0.0,0.0,2.8752923965454102,2.793924050331116,2.907900257839492,2.829313745438535,0.1095839052993348,0.0778167001748556,76.41916614207852,3.241122470538583,2.5995733397794103,AFSI,1,1450.02001953125,1452.989990234375,1446.43994140625,1447.4100341796875,2618820000,1427.3363240559895,1420.413994140625,1429.0117485363846,1418.5063916141576,8.188470520747842,6.476569221704629,64.67665912661678
2007-02-08,3.18143413047246,3.207592113554804,3.145466903734236,3.178164005279541,294847,0,0.0,0.0,2.889564561843872,2.806597685813904,2.925336628642076,2.842994147785241,0.1125849650047121,0.0847703531408269,73.16002243696076,3.2749124483564653,2.602077059318706,AFSI,1,1448.31005859375,1450.449951171875,1442.81005859375,1449.989990234375,2816180000,1428.5879923502605,1421.3611962890625,1430.2568007981502,1419.6751628682591,8.307289427255682,6.84271326281484,61.3947698084679
2007-02-09,3.1977832702070463,3.3645389240014634,3.1814345287339965,3.26971697807312,783225,0,0.0,0.0,2.907323479652405,2.8211023807525635,2.9475547157021436,2.859728376423982,0.1209565741134874,0.092007597335359,80.73761465367589,3.3231312911309487,2.5989802439413783,AFSI,1,1438.06005859375,1452.449951171875,1433.43994140625,1448.25,2951810000,1429.2933268229167,1422.4831982421874,1430.7602367849631,1420.3961391712198,7.488047380476928,6.971780086347258,59.34452020461285
