Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI,Upper_Band,Lower_Band,Company,Trend,SP500_Close,SP500_High,SP500_Low,SP500_Open,SP500_Volume,SP500_SMA_30,SP500_SMA_50,SP500_EMA_30,SP500_EMA_50,SP500_MACD,SP500_Signal_Line,SP500_RSI
1987-06-30,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2430672720074653,0.2401482567191123,0.2455014003787352,0.2413121869692465,0.0042660995596499,0.0040917251960237,100.0,0.2631981650066598,0.2302339172291533,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-01,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2436286211013793,0.2404850661754607,0.2459600330384299,0.2417552465627664,0.00410320500826,0.004094021158471,100.0,0.2633935771733343,0.2317225523442209,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-10,0.2694516479969024,0.3704950777336562,0.2694516479969024,0.2694516479969024,54450,0.0,0.0,0.2475580970446268,0.2428427517414092,0.2492396673576307,0.2447321145901477,0.004356561944743,0.0038170437549249,100.0,0.2609840002323683,0.2459205571149293,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-13,0.2694516479969024,0.2694516479969024,0.2694516479969024,0.2694516479969024,0,0.0,0.0,0.2486808275183042,0.2435163900256156,0.2505436661085515,0.2457015080570793,0.0052181924172261,0.0040972734873851,100.0,0.2646617233155083,0.2439269781710792,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-14,0.3031328916549682,0.4041771807760967,0.3031328916549682,0.3031328916549682,7260,0.0,0.0,0.250926266113917,0.2448636531829833,0.2539365193696106,0.2479537191785651,0.0085206153023822,0.0049819418503846,100.0,0.2809485691713382,0.2326924008203457,AVD,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-15,0.3704952299594879,0.4715395514175718,0.3704952299594879,0.3704952299594879,24200,0.0,0.0,0.2554171159863472,0.2475581631064414,0.2614564361818608,0.2527592686209543,0.0163845164554732,0.0072624567714023,100.0,0.3188623955894387,0.2065670767377936,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-16,0.3704952299594879,0.3704952299594879,0.3704952299594879,0.3704952299594879,0,0.0,0.0,0.2599079658587773,0.2502526730298995,0.26849119707074,0.257376365144034,0.0223589744363226,0.0102817603043863,100.0,0.34230016050691,0.1949178141558707,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-17,0.3704952299594879,0.5052215344156645,0.3704952299594879,0.3704952299594879,12100,0.0,0.0,0.2643988157312075,0.2529471829533576,0.2750721024184011,0.2618123990583655,0.0267850144562322,0.0135824111347555,100.0,0.3606174213086102,0.1883890556897189,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-20,0.3704952299594879,0.3704952299594879,0.3704952299594879,0.3704952299594879,0,0.0,0.0,0.2688896656036377,0.2556416928768157,0.2812284332275035,0.2660744708584096,0.0299474672985406,0.0168554223675125,100.0,0.3758351661362491,0.1849598131976284,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-21,0.3704952299594879,0.3704952299594879,0.3704952299594879,0.3704952299594879,0,0.0,0.0,0.2733805154760678,0.2583362028002738,0.2869875814037605,0.2701694025878636,0.0320838908382575,0.0199011160616615,100.0,0.3888026272358695,0.1837808544335564,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-07-22,0.3704952299594879,0.5052215344156645,0.3704952299594879,0.3704952299594879,12100,0.0,0.0,0.277871365348498,0.2610307127237319,0.2923751716331623,0.2741037487592999,0.0333920985592521,0.0225993125611796,100.0,0.399963761990592,0.1844082220143823,AVD,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
