Date,Close,High,Low,Open,Volume,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
2000-03-14,1359.1500244140625,1395.1500244140625,1359.1500244140625,1383.6199951171875,1094000000,1386.6913289388021,1402.2489990234376,1386.94339813622,1398.8373886349023,-6.343721363255554,-8.80782224900726,49.686115480640176
2000-03-15,1392.1400146484375,1397.989990234375,1356.989990234375,1359.1500244140625,1302800000,1386.1199951171875,1400.9873999023437,1387.2786637176534,1398.574746517786,-4.752218939707973,-7.996701587147403,57.14126789528158
2000-03-16,1458.469970703125,1458.469970703125,1392.1500244140625,1392.1500244140625,1482300000,1387.7649943033855,1402.1683984375,1391.8716512651033,1400.9235788387798,1.840119555351066,-6.02933735864771,69.71540516281881
2000-03-17,1464.469970703125,1477.3299560546875,1453.3199462890625,1458.469970703125,1295100000,1389.081660970052,1403.4155981445313,1396.555413809492,1403.415594206009,7.4627195779146405,-3.33092597133524,68.86260160993652
2000-03-20,1456.6300048828125,1470.300048828125,1448.489990234375,1464.469970703125,920800000,1390.1569946289062,1404.47919921875,1400.4311938787384,1405.5024338403935,11.157434919580055,-0.4332537931521809,65.13235383251944
2000-03-21,1493.8699951171875,1493.9200439453125,1446.06005859375,1456.6300048828125,1065900000,1392.4779947916666,1405.5271997070313,1406.459503636058,1408.9678284002678,16.895716132805546,3.032540192039365,67.77765288407934
2000-03-22,1500.6400146484375,1505.0799560546875,1487.3299560546875,1493.8699951171875,1075000000,1394.4419962565105,1406.3880004882812,1412.5356656368567,1412.5628160962744,21.739035266654128,6.773839206962317,68.1918425735424
2000-03-23,1527.3499755859375,1532.5,1492.3900146484375,1500.6400146484375,1078300000,1398.2966634114584,1408.163798828125,1419.9430404722814,1417.0642733311631,27.41662936064745,10.902397237699343,68.12354403991436
2000-03-24,1527.4599609375,1552.8699951171875,1516.8299560546875,1527.3499755859375,1052200000,1401.9843302408854,1410.067998046875,1426.8796159861665,1421.393515982392,31.561220381300927,15.03416186641966,72.08850242984497
2000-03-27,1523.8599853515625,1534.6300048828125,1518.4599609375,1527.4599609375,901000000,1406.5423299153647,1411.5515966796875,1433.1364140097405,1425.41180889883,34.16155751163774,18.859640995463277,80.45622170325834
2000-03-28,1507.72998046875,1527.3599853515625,1507.0899658203125,1523.8599853515625,959100000,1410.4686645507813,1412.4031958007813,1437.9489021683864,1428.6399724898074,34.522829147185575,21.99227862580774,75.07202697224564
2000-03-29,1508.52001953125,1521.449951171875,1497.449951171875,1507.72998046875,1061900000,1414.0176635742187,1413.4707958984375,1442.5018774821197,1431.7725233541778,34.475477229626904,24.488918346571573,71.62116223085711
2000-03-30,1487.9200439453125,1517.3800048828125,1474.6300048828125,1508.52001953125,1193400000,1417.3593302408854,1414.1111962890625,1445.4320817700677,1433.9743869067713,32.40219232178242,26.071573141613744,67.78534537747692
2000-03-31,1498.5799560546875,1519.81005859375,1484.3800048828125,1487.9200439453125,1227400000,1421.0366617838542,1415.171396484375,1448.8609768852045,1436.5079386380621,31.25893141043821,27.109044795378637,72.08731807171498
2000-04-03,1505.969970703125,1507.18994140625,1486.9599609375,1498.5799560546875,1021700000,1426.3659952799478,1416.4635961914062,1452.545428099264,1439.2319398955156,30.596503871677214,27.806536610638354,80.19001337874913
2000-04-04,1494.72998046875,1526.449951171875,1416.4100341796875,1505.97998046875,1515460000,1431.1179931640625,1418.3275952148438,1455.267012123102,1441.4083336434855,28.832192432336797,28.011667774978044,73.16744119630232
